Event Name,Day,Month,Year,Time,Phone Number,Artiste,Venue,Price,Summary,Scrape Link
Dj Bobbi Red Alert Concert,3,November,2019,11:30 pm 6:00 pm 6pm,08067386462 09086789099,Salt @officialniniola @tclassic_mne @yunglmrmarley @officialidahams @aphrodija @mr.2kay @ajuraofficial @theokiemute @djjimmyjatt Brick Lace @nyandabnl Alert Concert Date- N2000 Table,the United States Naija,2000 50000 500000,"Presenting: Dj Bobbi Red Alert Concert.Performances by Salt @officialniniola @tclassic_mne @yunglmrmarley @officialidahams @aphrodija @mr.2kay @ajuraofficial @theokiemute @djjimmyjatt Brick Lace @nyandabnl Alert Concert Date- N2000 Table.The Venue is the United States Naija.Holding on November 3, 2019.Time is 11:30 pm 6:00 pm 6pm.Prices are ₦2000, ₦50000, ₦500000.",https://www.ariiyatickets.com/event/dj-bobbi-red-alert-concert/
Arista 5 Week Modelling Master Class,-1,October,2019,5:00 pm 8:00 am,,Abuja Admissions Tickets,Model,20000,Presenting: Arista 5 Week Modelling Master Class.Performances by Abuja Admissions Tickets.The Venue is Model.Holding on October 2019.Time is 5:00 pm 8:00 am.Prices are ₦20000.,https://www.ariiyatickets.com/event/arista-5-week-modelling-master-class/
Masterclass With Football Legend,1h 15,November,2019,1 pa 2 pa 3 pa 6:00 pm 6:30 pm,,England Portugal ACTIVITIES BRIEF Meet & Greet Q & A Roberto Carlos Luis Figo Carlos Vs Figo Selected Carlos and Figo European Club Luis Figo European Club Academies N100000 Meet & Greet Ticket Platinum Meet & Greet Ticket N 3.5million 10 Tickets for Meet & Greet Booth/Stand Gold Package Platinum Package (Football masterclass)₦350000.00 Quantity 100 Group Package,Nigeria Spain Portugal Spain,50000 100000 150000 350000 3500000,"Presenting: Masterclass With Football Legend.Performances by England Portugal ACTIVITIES BRIEF Meet & Greet Q & A Roberto Carlos Luis Figo Carlos Vs Figo Selected Carlos and Figo European Club Luis Figo European Club Academies N100000 Meet & Greet Ticket Platinum Meet & Greet Ticket N 3.5million 10 Tickets for Meet & Greet Booth/Stand Gold Package Platinum Package (Football masterclass)₦350000.00 Quantity 100 Group Package.The Venue is Nigeria Spain Portugal Spain.Holding on November 1h 15, 2019.Time is 1 pa 2 pa 3 pa 6:00 pm 6:30 pm.Prices are ₦50000, ₦100000, ₦150000, ₦350000, ₦3500000.",https://www.ariiyatickets.com/event/masterclass-with-football-legend/
The Model Experience Lagos 2019,7,November,2019,12:00 am 8:00 pm,,TME Lagos the Modeling Industry’s The Model Experience LA TME Lagos Polaroid Tags:2019 Model,Nigeria UK,3000 10000 50000,"Presenting: The Model Experience Lagos 2019.Performances by TME Lagos the Modeling Industry’s The Model Experience LA TME Lagos Polaroid Tags:2019 Model.The Venue is Nigeria UK.Holding on November 7, 2019.Time is 12:00 am 8:00 pm.Prices are ₦3000, ₦10000, ₦50000.",https://www.ariiyatickets.com/event/the-model-experience-lagos-2019/
Omini Aho No Hate Speech,10,November,2019,11:30 pm 6:00 pm,,Comedy Special 2019 Venue-Muson Centre LAGOS Regular Tickets Premium Tickets,-1,5000 25000 100000,"Presenting: Omini Aho No Hate Speech.Performances by Comedy Special 2019 Venue-Muson Centre LAGOS Regular Tickets Premium Tickets.Holding on November 10, 2019.Time is 11:30 pm 6:00 pm.Prices are ₦5000, ₦25000, ₦100000.",https://www.ariiyatickets.com/event/omini-aho-no-hate-speech/
Dvyne Live 2 0,2019,October,2019,10:00 pm 5:00 pm 5pm,08182658462 09086787099,Dvyne Spoken Comedy Dvyne Bee Jay Sax Larry J Calibird,The Kairos Hub Plot 49 Providence Street Lekki Phase 1 Gbolahan Aderibigbe,3000,"Presenting: Dvyne Live 2 0.Performances by Dvyne Spoken Comedy Dvyne Bee Jay Sax Larry J Calibird.The Venue is The Kairos Hub Plot 49 Providence Street Lekki Phase 1 Gbolahan Aderibigbe.Holding on October 2019, 2019.Time is 10:00 pm 5:00 pm 5pm.Prices are ₦3000.",https://www.ariiyatickets.com/event/dvyne-live-2-0/
Forex Leaders And Earners Workshop,25,October,2019,5:00 pm 8:00 am,,FOREX Lifetime,-1,5000,"Presenting: Forex Leaders And Earners Workshop.Performances by FOREX Lifetime.Holding on October 25, 2019.Time is 5:00 pm 8:00 am.Prices are ₦5000.",https://www.ariiyatickets.com/event/forex-leaders-and-earners-workshop/
Johnnys Room Live Ii,27,October,2019,11:30 pm 5:00 pm 5:00pm,08182658462 09086789099,JOHNNY Venue-Muri Okunola ParkVictoria IslandLagos Concert Johnny Drille Johnnys LAGOS Regular Tickets Couple Tickets,-1,1000 5000 25000 35000,"Presenting: Johnnys Room Live Ii.Performances by JOHNNY Venue-Muri Okunola ParkVictoria IslandLagos Concert Johnny Drille Johnnys LAGOS Regular Tickets Couple Tickets.Holding on October 27, 2019.Time is 11:30 pm 5:00 pm 5:00pm.Prices are ₦1000, ₦5000, ₦25000, ₦35000.",https://www.ariiyatickets.com/event/johnnys-room-live-ii/
Power Of Lafta,10TH,November,2019,11:30 pm 4:00 pm 4pm,09086787099,POLA BAMBOO HALLBEHIND BAMBOO PLAZA OPPOSITE 50K)/ Ticket Call 09086787099 Silvet Gold Table,-1,1000 2000 5000 50000 100000 200000 500000,"Presenting: Power Of Lafta.Performances by POLA BAMBOO HALLBEHIND BAMBOO PLAZA OPPOSITE 50K)/ Ticket Call 09086787099 Silvet Gold Table.Holding on November 10TH, 2019.Time is 11:30 pm 4:00 pm 4pm.Prices are ₦1000, ₦2000, ₦5000, ₦50000, ₦100000, ₦200000, ₦500000.",https://www.ariiyatickets.com/event/power-of-lafta/
Abuja Jazz Fashion Show,26,October,2018,00 am 6pm 7pm,,ABUJA JAZZ & FASHION Jazz African Fashion Jazz & Fashion Masterclass & Mentor Sales & Exhibition Main Jazz,-1,5000 20000 50000,"Presenting: Abuja Jazz Fashion Show.Performances by ABUJA JAZZ & FASHION Jazz African Fashion Jazz & Fashion Masterclass & Mentor Sales & Exhibition Main Jazz.Holding on October 26, 2018.Time is 00 am 6pm 7pm.Prices are ₦5000, ₦20000, ₦50000.",https://www.ariiyatickets.com/event/abuja-jazz-fashion-show/
Copa Lagos 2019,1,November,2019,2:00 pm 2:00pm 7:00 pm,08182658462 09086787099,Eko AtlanticVictoria Island Lagos Tickets Booking Please call- Copa Lagos Copa Lagos Copa Lagos Copa Lagos Copa Lagos Copa Lagos,Brazil Senegal England Nigeria,1000 10000,"Presenting: Copa Lagos 2019.Performances by Eko AtlanticVictoria Island Lagos Tickets Booking Please call- Copa Lagos Copa Lagos Copa Lagos Copa Lagos Copa Lagos Copa Lagos.The Venue is Brazil Senegal England Nigeria.Holding on November 1, 2019.Time is 2:00 pm 2:00pm 7:00 pm.Prices are ₦1000, ₦10000.",https://www.ariiyatickets.com/event/copa-lagos-2019/
Nigerian Universities Theater Arts Festival 2019,20,October,2019,1:00 pm 1:00pm 5:00 pm 6:00pm,,Nigeria Universities Theater Arts Festival NUTAF’19 the National Arts Theatre Complex Nigerian Universities Theatre Arts Festival Banquet Hall National & 6:00pm Daily Festuval LAGOS Student Tickets,Lagos,1000 2000,"Presenting: Nigerian Universities Theater Arts Festival 2019.Performances by Nigeria Universities Theater Arts Festival NUTAF’19 the National Arts Theatre Complex Nigerian Universities Theatre Arts Festival Banquet Hall National & 6:00pm Daily Festuval LAGOS Student Tickets.The Venue is Lagos.Holding on October 20, 2019.Time is 1:00 pm 1:00pm 5:00 pm 6:00pm.Prices are ₦1000, ₦2000.",https://www.ariiyatickets.com/event/nigerian-universities-theater-arts-festival-2019/
The Official Unveiling Of Anthony Kupe Foundation,2019,October,2019,11:30 pm 5:00 pm 5:00pm,,Mr Anthony Olumide Kupe Business Administration the ‘Kupe Foundation’ the Kupe Foundation AY Funke Akindele Korede Bello Jaywon Faze Annie Idibia,the Lagos Oriental Hotel,10000,"Presenting: The Official Unveiling Of Anthony Kupe Foundation.Performances by Mr Anthony Olumide Kupe Business Administration the ‘Kupe Foundation’ the Kupe Foundation AY Funke Akindele Korede Bello Jaywon Faze Annie Idibia.The Venue is the Lagos Oriental Hotel.Holding on October 2019, 2019.Time is 11:30 pm 5:00 pm 5:00pm.Prices are ₦10000.",https://www.ariiyatickets.com/event/the-official-unveiling-of-anthony-kupe-foundation/
Yowop Business Entrepreneurship Summit Award Dinner Nightcelebrating Social Media Influencers,8,November,2019,-1,,YOWOP BUSINESS& ENTREPRENEURSHIP SUMMIT & AWARD Digital Forex Career Relationship Generator Refrigerator Sewing Regular YOWOP TICKETS₦4000.00 Quantity 100 Vip,-1,4000 12000 100000,"Presenting: Yowop Business Entrepreneurship Summit Award Dinner Nightcelebrating Social Media Influencers.Performances by YOWOP BUSINESS& ENTREPRENEURSHIP SUMMIT & AWARD Digital Forex Career Relationship Generator Refrigerator Sewing Regular YOWOP TICKETS₦4000.00 Quantity 100 Vip.Holding on November 8, 2019.Prices are ₦4000, ₦12000, ₦100000.",https://www.ariiyatickets.com/event/yowop-business-entrepreneurship-summit-award-dinner-nightcelebrating-social-media-influencers/
Lagos Halloween Party,26,October,2019,11:30 pm 6:00 pm,,Lagos,-1,15000,"Presenting: Lagos Halloween Party.Performances by Lagos.Holding on October 26, 2019.Time is 11:30 pm 6:00 pm.Prices are ₦15000.",https://www.ariiyatickets.com/event/lagos-halloween-party/
Happy World Meal Gate 3rd Anniversary Car Awards,26th,October,2019,10:00 am 2:00 pm,,Stage 4 Awardees the Marquee of All Seasons Plaza24,-1,2000,"Presenting: Happy World Meal Gate 3rd Anniversary Car Awards.Performances by Stage 4 Awardees the Marquee of All Seasons Plaza24.Holding on October 26th, 2019.Time is 10:00 am 2:00 pm.Prices are ₦2000.",https://www.ariiyatickets.com/event/happy-world-meal-gate-3rd-anniversary-car-awards/
Africa Movie Academy Awards 2019,27,October,2019,11:30 pm 6:00 pm,08182658462 09086787099,The Africa Movie Academy Awards Peace Anyiam-Osigwe the Africa Film Academy Award LAGOS Movie,-1,10000 50000 300000 500000 1000000 2500000,"Presenting: Africa Movie Academy Awards 2019.Performances by The Africa Movie Academy Awards Peace Anyiam-Osigwe the Africa Film Academy Award LAGOS Movie.Holding on October 27, 2019.Time is 11:30 pm 6:00 pm.Prices are ₦10000, ₦50000, ₦300000, ₦500000, ₦1000000, ₦2500000.",https://www.ariiyatickets.com/event/africa-movie-academy-awards-2019/
Sour Grapes Stage Play,22,November,2019,7:00 pm,,SHADOWS Gold Tickets,Premium Tickets,3000 5000 10000,"Presenting: Sour Grapes Stage Play.Performances by SHADOWS Gold Tickets.The Venue is Premium Tickets.Holding on November 22, 2019.Time is 7:00 pm.Prices are ₦3000, ₦5000, ₦10000.",https://www.ariiyatickets.com/event/sour-grapes-stage-play/
Lagos Halloween Party 2,26,October,2019,11:30 pm 6:00 pm,,The Lagos Halloween Party Pool Social,Lagos Halloween,10000,"Presenting: Lagos Halloween Party 2.Performances by The Lagos Halloween Party Pool Social.The Venue is Lagos Halloween.Holding on October 26, 2019.Time is 11:30 pm 6:00 pm.Prices are ₦10000.",https://www.ariiyatickets.com/event/lagos-halloween-party-2/
Chef Fatima Global Food Fest,9,November,2019,12:00 pm 8:00 pm,,The Chef Fatima Global Food Fest Food Fair Chef Fatima Human Rights Radio Expert Official Food Safety Consultant to Government and Private Organizations Chef Fatima I. Haruna CGFF Geo-Political The Food Fest The Food Fest Embassies and International Cultural Centers,Nigeria Nigeria Vvip,2000 10000 20000,"Presenting: Chef Fatima Global Food Fest.Performances by The Chef Fatima Global Food Fest Food Fair Chef Fatima Human Rights Radio Expert Official Food Safety Consultant to Government and Private Organizations Chef Fatima I. Haruna CGFF Geo-Political The Food Fest The Food Fest Embassies and International Cultural Centers.The Venue is Nigeria Nigeria Vvip.Holding on November 9, 2019.Time is 12:00 pm 8:00 pm.Prices are ₦2000, ₦10000, ₦20000.",https://www.ariiyatickets.com/event/chef-fatima-global-food-fest/
